5	5.00	9.92	4.9440	4.9440
10	10.00	19.43	4.7881	4.7881
15	15.00	28.19	4.5625	4.5625
20	20.00	36.05	4.3018	4.3018
25	25.00	43.00	4.0346	4.0346
30	30.00	49.11	3.7796	3.7796
35	35.00	54.47	3.5471	3.5471
40	40.00	59.21	3.3411	3.3411
45	45.00	63.43	3.1623	3.1623
50	50.00	67.24	3.0094	3.0094
55	55.00	70.70	2.8805	2.8805
60	60.00	73.90	2.7735	2.7735
65	65.00	76.88	2.6864	2.6864
70	70.00	79.69	2.6175	2.6175
75	75.00	82.37	2.5653	2.5653
80	80.00	84.96	2.5288	2.5288
85	85.00	87.50	2.5072	2.5072
